Instrument,Picture,Classification,H-S Number,Origin,Common classification,Relation
Agida,,membranophones,201.212,Suriname,percussion,bass drum
Alfaia,,membranophones,211.212.1,Brazil,percussion,
Apinti,,membranophones,211.212,Suriname,percussion,tenor drum
Arobapá,,membranophones,211.21,Cuba,percussion,drum
Ashiko,,membranophones,211.251.1,Yoruba,percussion,djembe
Atabaque,,membranophones,211.221.1,Brazil,percussion,
Baboula,,membranophones,211.221.1,Grenada,percussion,barrel drum
Balaban (drum),,membranophones,211.311,Montserrat,percussion,frame drum
Balsié,,membranophones,2,Dominican Republic,percussion,drum
Bamboula,,membranophones,211.211.2,Haiti,percussion,drum
Bara,,membranophones,211.11,"Burkina Faso, Ivory Coast, Mali",percussion,
Barrel drum,,membranophones,211.222,Cuba,percussion,barrel drum
Barriles buleador primo repicador subidor,,membranophones,211.221.2,Puerto Rico,percussion,barrel drum
Bass drum,,membranophones,211.212,,percussion,bass drum
Bedug,,membranophones,211.212.1,Indonesia,percussion,
Bodhrán,,membranophones,211.321,"Ireland, Scotland",percussion,frame drum
Bongo drums,,membranophones,211.251.2,Cuba,percussion,drum
Boobam,,membranophones,211.211.1,United States,percussion,tom-tom
Candombe chico repique piano,,membranophones,211.221.1,Uruguay,percussion,conga
Chenda (Chande) Uruttu chenda Veekku chenda Acchan chenda,,membranophones,211.212,India,percussion,drum
Conga (Tumbadora) ricardo (smallest) requinto quinto conga tumba supertumba (largest),,membranophones,211.221.1,Caribbean,percussion,drum
Cuíca,,membranophones,231.11,Brazil,percussion,friction drum
Culo'e puya,,membranophones,,Venezuela,percussion,drum
Cultrun,,membranophones,,Chile,percussion,drum
Dabakan,,membranophones,211.261.2,Philippines,percussion,goblet drum
"Daf (Dap, Def)",,membranophones,211.311,Iran,percussion,frame drum
Damaru,,membranophones,211.3,"India, Nepal, Tibet",percussion,drum
"Davul (dhol, tapan, atabal, tabl)",,membranophones,211.212,"Turkey, Bulgaria, Macedonia, Middle East",percussion,bass drum
Dayereh,,membranophones,211.311,"Azerbaijan, Bulgaria, Iran, Kazakhstan, Kyrgyzstan, North Macedonia, Tajikistan, Turkmenistan, Uzbekistan",percussion,drum
Den-den daiko,,membranophones,2,Japan,percussion,bell
Dhak,,membranophones,,"Bangladesh, India",percussion,
"Dhimay (Dhimaya, Dhime)",,membranophones,211.212,Nepal,percussion,drum
Dhol,,membranophones,211.212,"Asia, India, Pakistan",percussion,bass drum
Dholak (Dholaki),,membranophones,211.222,"Asia, Bangladesh, India, Nepal, Pakistan, Sri Lanka",percussion,barrel drum
Dimdi,,membranophones,211.311,India,percussion,frame drum
Djembe,,membranophones,211.261.1,"West Africa, Burkina Faso, Gambia, Guinea, Guinea-Bissau, Mali, Senegal",percussion,goblet drum
Dollu,,membranophones,211.222.1,India,percussion,frame drum
Drum kit,,idiophones and membranophones,1/2,North American,percussion,drum
"Dunun (Dundun, Doundoun)",,membranophones,211.212.1,"West Africa, Burkina Faso, Ivory Coast, Gambia, Guinea, Mali, Senegal",percussion,drum
Gran Cassa,,membranophones,211.212,Italy,percussion,bass drum
Goblet drum,,membranophones,211.26,"Egypt, Turkey, Ancient Middle East",percussion,drum
Gong bass drum,,membranophones,,,percussion,
Hira-daiko,,membranophones,1,Japan,percussion,drum
Idakka,,membranophones,211.242.1,Southern India,percussion,talking drum
Ilimba drum,,membranophones,211.11,Zimbabwe,percussion,gourd drum
Ingoma Shakwe Inyahura Igihumurizo,,membranophones,211.212,Rwanda,percussion,drum
"Janggu (Janggo, changgo)",,membranophones,211.242,Korea,percussion,drum
Junjung,,membranophones,2,"Gambia, Senegal",percussion,
Kakko,,membranophones,2,Japan,percussion,drum
Kanjira,,membranophones,211.311,India,percussion,frame drum
Kebero,,membranophones,2,Ethiopia,percussion,
Kendang (Gendang),,membranophones,211.222,"Brunei, Malaysia and Philippines",percussion,drum
Khol (Mrdanga),,membranophones,211.232,India,percussion,drum
Krakebs,,membranophones,2,"Algeria, Berbers, Morocco, Saudi Arabia, Tunisia",percussion,
Lambeg drum,,membranophones,211.212,Ireland,percussion,bass drum
Madhalam,,membranophones,211.212,India,percussion,mridangam
Madal,,membranophones,211.212,"India, Nepal",percussion,drum
Maddale,,membranophones,211.212,India,percussion,mridangam
"Maktoum (maktoom, katem)",,membranophones,2,Afro-Arab,percussion,drum
Maram,,membranophones,,India,percussion,drum
