name,category,subcategory
Co-producer,PRODUCTION,
Commissioned By,PRODUCTION,
Compilation Producer,PRODUCTION,
Compiled By,PRODUCTION,
Curated By,PRODUCTION,
Executive-Producer,PRODUCTION,
Producer,PRODUCTION,
Recording Supervisor,PRODUCTION,
Reissue Producer,PRODUCTION,
Research,PRODUCTION,
Supervised By,PRODUCTION,
Collected By,PRODUCTION,
Created By,PRODUCTION,
Commentator,PRODUCTION,
Consultant,PRODUCTION,
Dialog,PRODUCTION,
Directed,PRODUCTION,
Editor,PRODUCTION,
Music Director,PRODUCTION,
Post Production,PRODUCTION,
Project Manager,PRODUCTION,
Promotion,PRODUCTION,
Public Relations,PRODUCTION,
Tour Manager,PRODUCTION,
Executive Producer,PRODUCTION,
