name,category,subcategory
Crew,TECHNICAL,
DAW,TECHNICAL,
Edited By,TECHNICAL,
Engineer,TECHNICAL,
Engineered By,TECHNICAL,
Lacquer Cut,TECHNICAL,
Mastered By,TECHNICAL,
Mixed By,TECHNICAL,
Recorded By,TECHNICAL,
Remastered By,TECHNICAL,
Tape Op,TECHNICAL,
Technician,TECHNICAL,
Tracking,TECHNICAL,
Transferred By,TECHNICAL,
Camera Operator,TECHNICAL,
Direct Metal Mastering,TECHNICAL,
Lathe Cut,TECHNICAL,
Overdubbed,TECHNICAL,
Plated,TECHNICAL,
Programmed By,TECHNICAL,
Software Instrument,TECHNICAL,
Translated By,TECHNICAL,
Tuner,TECHNICAL,
Vocal Coach,TECHNICAL,
Equipment,TECHNICAL,
Field Recording,TECHNICAL,
Filmed By,TECHNICAL,
Footage,TECHNICAL,
Instrument Builder,TECHNICAL,
Luthier,TECHNICAL,
Restoration,TECHNICAL,
Screen Printing,TECHNICAL,
Sequencer,TECHNICAL,
