Instrument,Picture,Classification,H-S Number,Origin,Common classification,Relation
Accordina,,aerophones,412.132,France,free reed instruments,accordion
Accordion Button accordion Cajun accordion Chromatic button accordion Diatonic button accordion Free bass accordion Piano accordion Schrammel accordion Steirische Harmonika,,aerophones,412.132,Europe,free reed instruments,accordion
Accordola,,aerophones,412.132,United States of America,free reed instruments,mouth organ
Air horn,,aerophones,423,,Plosive?,Trumpet
Alboka,,aerophones,422.2,Basque Country,reed instruments,clarinet
Algaita,,aerophones,,Niger,reed instruments,
Almpfeiferl,,aerophones,421.221.12,Austria,woodwinds,"flageolet, baroque recorder"
Alphorn,,aerophones,423.121.22,Switzerland,woodwinds,natural trumpet
Alto horn,,aerophones,423.232,Belgium,brass instruments,trumpet
Arghul,,aerophones,422.2,"Egypt, Syria, Turkey",reed instruments,clarinet
Atenteben,,aerophones,422.2,Ghana,woodwinds,flute
Aulochrome,,aerophones,422.212,Belgium,reed instruments,saxophone
Aulos,,aerophones,,,reed instruments,
Aztec Death Whistle[citation needed],,aerophones,x,Mexico,aerophone,whistle
Bagpipe,,aerophones,422,Europe,reed instruments,bagpipe
Balaban,,aerophones,422.111.2,"Azerbaijan, Iran",reed instruments,"oboe, duduk"
Bandoneón,,aerophones,412.132,Latin America,free reed instruments,accordion
Bansuri,,aerophones,421.121.12,India,woodwinds,flute
Baritone horn,,aerophones,423.232,Germany,brass instruments,trumpet
Baritone voice,,aerophones,43,,vocal registers,human voice
Bassoon Tenoroon Semicontrabassoon Contrabassoon/double bassoon,,aerophones,422.112.2–71,Western Europe,reed instruments,oboe
Bawu,,aerophones,412.131,China,free reed instruments,pitch pipe
Bayan,,aerophones,412.132,Russia,free reed instruments,accordion
Bazooka,,aerophones,423.121.11,,brass instruments,trumpet
Beatboxing,,aerophones,43,,vocal techniques,human voice
Bifora,,aerophones,422.11,Italy (Sicily),reed instruments,oboe
Birbynė,,aerophones,422.112.2,Lithuania,reed instruments,oboe
Blul,,aerophones,421.111.12,Greece,woodwinds,"end-blown flute, kaval"
Blown bottle,,aerophones,,,,
Bombard Chromatic bombard,,aerophones,422.112.2,France,reed instruments,oboe
Buccina,,aerophones,423.121.21,Italy (Ancient Rome),brass instruments,trumpet
Bugle,,aerophones,423.121.22,Europe,brass instruments,trumpet
Bukkehorn,,aerophones,421.221.42,"Norway, Sweden",fipple flutes,ocarina
Bullroarer,,aerophones,41,Ancient civilizations,noise makers,sirens
Calliope,,aerophones,421.222.3,Western Europe/North America,fipple flutes,organ
Castrato,,aerophones,43,,vocal registers,human voice
Chalumeau,,aerophones,422.2,France,reed instruments,clarinet
Cimbasso F Cimbasso E♭ Cimbasso C Cimbasso B♭ Cimbasso,,aerophones,423.232,Italy,brass instruments,trombone
"Clarinets Piccolo clarinet in A♭ (or G) Sopranino clarinet in E♭ (or D) Soprano clarinet in B♭ (or A; also C, low G) Basset clarinet in A Clarinette d'amour in G Basset horn in F Alto clarinet in E♭ Bass clarinet Contra-alto clarinet Contrabass clarinet Octocontra-alto clarinet Octocontrabass clarinet",,aerophones,422.2,Germany,reed instruments,clarinet
Clarytone,,aerophones,421.221,South Africa,fipple flutes,tin whistle
Concertina Chemnitzer concertina,,aerophones,412.132,Europe,free reed instruments,accordion
Conch,,aerophones,423.111,,trumpets,conch
Cornamuse,,aerophones,422.111.2,Europe,reed instruments,oboe
Cornet E♭ Soprano cornet A Soprano cornet C Soprano cornet,,aerophones,423.232,France,brass instruments,trumpet
Cornett,,aerophones,423.2,Northern Europe,natural trumpets,trumpet
Cornu,,aerophones,423.121.21,Italy (Ancient Rome),brass instruments,trumpet
Corrugaphone,,aerophones,411,,noise makers,whip
Countertenor,,aerophones,43,,vocal registers,human voice
Cromorne,,aerophones,422.11,France,reed instruments,oboe
Crumhorn Soprano Alto Tenor Bass Greatbass,,aerophones,422.111.2,Western Europe,reed instruments,oboe
Danso,,aerophones,421.111.12,Korea,woodwinds,end-blown flute
Death growl,,aerophones,43,England,vocal techniques,human voice
Didgeridoo,,aerophones,423.121.11,Australia,natural trumpets,trumpet
Diple (or dvojnice),,aerophones,422.21/22,Croatia,reed instruments,bagpipe
