Instrument,Classification,H-S Number,Origin,Common classification,Relation
AlphaSphere,,electrophones,,,
Audiocubes,,electrophones,,,
Bass Pedals,,electrophones,,,
Continuum Fingerboard,,electrophones,,,
Croix Sonore,,electrophones,,,
Denis d'or,,electrophones,,,
Stylophone,,electrophones,,,
Drum Machine,,electrophones,,,
Electric Guitar,,electrophones,,,
Electronic Keyboard,,electrophones,,,
Digital Piano,,electrophones,,,
Electronic Organ,,electrophones,,,
EWI,,electrophones,,,
Fingerboard synthesizer,,electrophones,,,
Hammond organ,,electrophones,,,
Keyboard,,electrophones,,,
Keytar,,electrophones,,,
Kraakdoos,,electrophones,,,
Cracklebox,,electrophones,,,
Laser Harp,,electrophones,,,
Mellotron,,electrophones,,,
MIDI Controller,,electrophones,,,
Eigenharp,,electrophones,,,
MIDI Keyboard,,electrophones,,,
Seaboard,,electrophones,,,
Omnichord,,electrophones,,,
Ondes Martenot,,electrophones,,,
Otamatone,,electrophones,,,
Personal Computer,,electrophones,,,
Fairlight CMI,,electrophones,,,
Sampler,,electrophones,,,
Skoog,,electrophones,,,
Synclavier,,electrophones,,,
Synthesizer,,electrophones,,,
Teleharmonium,,electrophones,,,
Tembûr,,electrophones,,,
Tenori-on,,electrophones,,,
Theremin,,electrophones,,,
Trautonium,,electrophones,,,
Turntable,,electrophones,,,
